No.,Sexo,Tipo_Empleo,Tiene_Vehiculo,Edad,Ciudad_Chile,Num_Entidades_Deuda,Tiene_Tarjeta,Saldo_Tarjeta_CLP,Saldo_Total_CLP,Variacion_Endeudamiento,Peor_Calificacion_36M,Peor_Calificacion_12M,Reportes_Central_36M,Reportes_Central_12M,Promedio_Saldo_CLP,Maximo_Saldo_CLP,Ingreso_CLP,Ratio_Saldo_Ingreso,ScoreRiesgo,RiesgoAlto
1104,F,IND,0,60,SANTIAGO,0,0,0,0,-0.693033204318598,1,0,11,7,236062,417265,6205000,0,0.02,0
1105,M,DEP,0,49,SANTIAGO,2,1,1603440,1603440,0.019310920351244,0,0,16,12,1094456,1813041.5,2210000,0.0604615361816917,7.05,0
1106,F,DEP,0,23,SANTIAGO,2,0,0,1012035.5,-0.498976604313497,1,1,32,12,1830047.7,2566456,850000,0.0992191569392983,14.71,1
1107,F,DEP,1,38,CONCEPCION,1,0,0,2664954,-0.104217142857143,0,0,30,12,1826019.81,2975000,1700000,0.130634993596324,4.06,0
1108,F,IND,1,60,SANTIAGO,2,1,8303607.5,8303607.5,-0.0879414203128034,1,0,35,12,5196171.21,9104248,2975000,0.232594041103808,7.92,0
1109,F,IND,0,56,SANTIAGO,4,1,8237273.5,8237273.5,-0.480431421243159,2,2,36,12,11260729.11,15854064,1530000,0.448653216304291,30.66,1
1110,F,DEP,0,35,CONCEPCION,2,1,429955.5,1273801.5,-0.13175550405562,4,0,36,12,816636.31,1467100,1700000,0.0624412469391546,7.05,0
1111,M,DEP,0,66,CONCEPCION,1,0,0,1085280,-0.263157894736842,0,0,21,12,1091778.51,1615000,816000,0.110833322014571,3.95,0
1112,M,DEP,0,30,SANTIAGO,1,0,0,576946,-0.668155815387426,0,0,28,12,1735581,2977652,1020000,0.047136107260122,3.6,0
1113,M,IND,1,33,SANTIAGO,2,0,0,1344028.5,-0.529383362818019,0,0,27,12,2450763.6,4348302.5,1666000,0.0672283129637699,7.04,0
1114,M,IND,0,26,SANTIAGO,3,1,1225419.5,2726893.5,-0.482929988794887,0,0,19,12,3307001.5,5734882,6375000,0.0356456662007103,10.22,0
1115,F,IND,0,40,SANTIAGO,4,1,3441191,5759056,-0.0108544741310216,4,0,27,12,2554718.01,5822253.5,2550000,0.188204438293973,14.36,1
1116,F,DEP,0,47,SANTIAGO,0,0,0,0,0,,,0,0,0,0,782000,0,0.07,0
1117,F,IND,0,26,SANTIAGO,2,0,0,1071544,-0.439848283556767,0,0,31,12,1640361.7,2955909,1190000,0.075038089983327,7.09,0
1118,M,IND,0,53,SANTIAGO,1,0,0,1423095.5,0.42384657907046,3,0,29,12,461795.31,999472.5,680000,0.174398936960915,4.33,0
1119,F,IND,0,56,CONCEPCION,1,0,0,451324.5,-0.755545689974103,4,0,36,12,2005993.2,4020712.5,1615000,0.0232881566930776,3.47,0
1120,M,DEP,0,39,SANTIAGO,1,1,622072.5,622072.5,-0.955997051438686,2,0,30,6,11228944.3,14137064,3825000,0.0135527774825103,3.41,0
1121,M,IND,1,62,SANTIAGO,1,1,1614532.5,3448084.5,0.197971555987456,4,0,31,12,942123.51,3043909.5,2125000,0.135218994697294,4.11,0
1122,F,IND,1,30,SANTIAGO,1,1,998784,998784,-0.471784467302067,1,0,36,12,1552714.21,3242682,1445000,0.0575999966782009,3.67,0
1123,M,DEP,0,44,SANTIAGO,3,1,565360.5,2353862.5,-0.346667178473408,1,0,24,12,2907222.7,4428755,923100,0.212496144107162,11.13,0
1124,F,IND,0,52,SANTIAGO,4,1,8026176,8026176,-0.15660972512392,4,0,36,12,5020821.31,11619636,1615000,0.414147347051221,15.51,1
1125,F,IND,0,36,SANTIAGO,1,0,0,6948622.5,-0.216244166666667,0,0,28,12,5919822.11,10200000,2125000,0.272494989313922,4.78,0
1126,M,IND,0,34,SANTIAGO,3,1,2463121.5,2463121.5,-0.019705940803316,3,3,36,12,1938986.51,2694593.5,1700000,0.120741244081312,33.19,1
